hotlist_id,date_added,name,address,dob,telephone
884763262977,2012-09-12T00:00:00.000+00:00,Monmax Developments,,,770-454-3440
884763262978,1992-12-04T00:00:00.000+00:00,Steven Fair,,1987-04-09,
884763262979,1995-10-14T00:00:00.000+00:00,J Patel,"40 Essex Rd, TANTOBIE, DH9 1TZ",1980-11-15,
893353197569,2006-03-14T00:00:00.000+00:00,Owen Purcell,"2394 Leslie Street, Newmarket, ON, L3Y 2A3",1980-11-22,
893353197570,2006-10-08T00:00:00.000+00:00,Oscar McCarty,"20 Passage Avenue, PORT DOUGLAS, QLD, 4877",1981-08-20,(07) 4005 0586
927712935937,2005-07-03T00:00:00.000+00:00,Cody Postle,"3 Frouds Road, NUNGURNER, VIC, 3909",1982-10-27,
936302870529,2010-07-16T00:00:00.000+00:00,Anh Borst,"Dopheistraat 105, Reuver, LI, 5953 MH",1978-01-19,
970662608897,2007-01-11T00:00:00.000+00:00,Michael Hill,"2452 O Conner Street, Pascagoula, MS, 39567",1986-04-25,
1005022347265,2011-09-16T00:00:00.000+00:00,A Nava,"3847 Cherry Tree Drive, Jacksonville, FL, 32202",1972-01-09,
1108101562369,2006-01-25T00:00:00.000+00:00,Forest City Imports EEI,"73 Monteagle Road, HOLT, ACT, 2615",,(02) 6112 8592
1116691496961,1997-02-12T00:00:00.000+00:00,Plan Smart Imports R.L,"17 Redesdale Rd, EPSOM, VIC, 3551",,(03) 5341 2940
1159641169921,2014-10-24T00:00:00.000+00:00,H Thomas,"2274 Isabella Street, Pembroke, ON, K8A 5S5",1984-04-13,
1168231104513,1996-06-20T00:00:00.000+00:00,Marsiliu Bergero,,,0490 12 85 52
1176821039105,2001-09-18T00:00:00.000+00:00,Taylah Using,"30 Benny Street, EAST DEVONPO, TAS, 7310",,(03) 6239 3018
1236950581249,2014-07-21T00:00:00.000+00:00,Prestiga-Biz NV,"2517 Dogwood Lane, Portal, AZ, 85632",,520-558-0010
1245540515841,2008-12-27T00:00:00.000+00:00,A Agnes,,1974-09-25,(03) 9049 6684
1305670057985,2003-06-24T00:00:00.000+00:00,Lily Kitson,"4004 Colonial Drive, Sealy, TX, 77474",1974-09-18,
1314259992577,1997-03-03T00:00:00.000+00:00,M Gerber,,1985-11-06,0688 995 57 81
1314259992578,1999-01-09T00:00:00.000+00:00,April Nava,"Avenida Miguel Bombarda 36, Lisboa, Lisboa, 1600-679",1980-04-09,21 215 378 5110
1400159338497,2004-06-04T00:00:00.000+00:00,Grosveno Arsenau,"R Coutada 1, Nogueira da, Aveiro, 4500-727",1988-05-20,
1408749273089,1992-06-11T00:00:00.000+00:00,Stephani Sample,"1863 Union Lane, Botha's Hill, KwaZulu-Natal, 3660",1971-11-23,084 143 3694
1408749273090,2010-01-05T00:00:00.000+00:00,A Brown,"1003 Brown Street, Walnut Creek, CA, 94596",,925-946-0901
1451698946049,2012-07-14T00:00:00.000+00:00,Robert Link,"Ysitie 13, TAMPERE, Pirkanmaa, 33820",1972-05-13,
1460288880641,1999-04-09T00:00:00.000+00:00,Madeline Amies,"15 Queen Street, NORTH CURL C, NSW, 2099",1982-07-28,(02) 9986 2794
1468878815233,1995-07-10T00:00:00.000+00:00,Abbondan Romano,"Viale Augusto 134, Santo Stefan, LT, 04020",,
1468878815234,2006-09-25T00:00:00.000+00:00,Honorato Garrido,,1988-07-11,
1494648619009,2000-03-17T00:00:00.000+00:00,Tyler Morgan,"57 Birch  Street, El Paso, TX, 79901",1970-11-25,915-727-2081
1546188226561,2013-02-07T00:00:00.000+00:00,N Glover,,,078 4837 6324
1571958030337,1999-01-01T00:00:00.000+00:00,M Johnson,"191 Glyn St, Pretoria, Gauteng, 0179",,083 675 6062
1571958030338,1992-05-06T00:00:00.000+00:00,C Collins,,1989-04-20,(02) 6735 0235
1597727834113,2006-01-05T00:00:00.000+00:00,Farouk Swinkels,"1144 Dorp St, Franschhoek, Western Cape, 7690",1973-04-23,083 951 8651
1640677507073,2010-09-06T00:00:00.000+00:00,Kiara Kay,"43 Fore St, TUDWEILIOG, LL53 0PH",1975-03-08,
1649267441665,2005-06-03T00:00:00.000+00:00,Max McDowell,"1309 Edson Drive, Hinton, AB, T7V 1V1",1985-07-18,
1657857376257,2010-01-26T00:00:00.000+00:00,John Plain EE,"63 Maritime Avenue, CALJIE, WA, 6302",,
1683627180033,1998-01-21T00:00:00.000+00:00,Tyler Morgan,,,
1683627180034,2008-02-29T00:00:00.000+00:00,Elizabet Davis,"4666 Heron Way, Portland, OR, 97205",1981-02-16,
