prim_acc_no,composite_acc_name,consolidated_acc_address,acc_stat,acc_district,rel_mngr_name,raw_acc_name,acc_opened_dt,acc_closed_dt,addr_line_one,city,state,postal_cde,ctry,acc_risk_rtng,aml_alr_flg,sar_count,tel_no
39425415244662,Freedom Map LTD,"1887 Reeves Street, New Berlin, WI, 53151",Active,New Berlin,,Freedom Map LTD,,,469 Jerry Toth Drive,New Berlin,AK,99770,US,4135,f,,920-889-2606
39520042998580,PHARRELL KLUITEN,"3611 Tanner Street, Vancouver, BC, V5R 2T4",Active,Vancouver,,PHARRELL KLUITEN,,,4420 Oakmound Road,Vancouver,IL,60005,CA,6859,f,,604-438-4019
40733818450072,Leo's Stereo S.M.B.A,"85 Mendooran Road, ANGLE PARK, NSW, 2830",Active,ANGLE PARK,,Leo's Stereo S.M.B.A,,,85 Mendooran Road,ANGLE PARK,NSW,2830,AU,6313,f,,(02) 4033 7442
43304999058834,ELIZABET DAVIS,"622 Stark Hollow Road, Durango, CO, 81302",Active,Durango,,ELIZABET DAVIS,,,622 Stark Hollow Road,Durango,CO,81302,US,3463,f,,970-759-2789
45407588567030,SoundTrack Ek.,"88 Thyme Avenue, TANNYMOREL, QLD, 4372",Active,TANNYMOREL,NGUYET RADDEN,SoundTrack Ek.,,,88 Thyme Avenue,TANNYMOREL,QLD,4372,AU,8560,f,,(07) 4549 5104
47934676870431,Super Shops Imports Sahis,"642 Pennsylvania Avenue, Bound Brook, NJ, 08805",Active,Bound Brook,,Super Shops Imports Sahis,,,642 Pennsylvania Avenue,Bound Brook,NJ,8805,US,8568,f,,
48365767476795,Hughes Markets Imports NV,"26 Nerrigundah Drive, CARDINIA, VIC, 3978",Active,CARDINIA,DINA SEN,Hughes Markets Imports NV,,,26 Nerrigundah Drive,CARDINIA,VIC,3978,AU,9673,f,,(03) 9689 1883
52088139572389,Huyler's Imports AK,"130 Kort St, Bloemfontein, Free State, 9313",Active,Bloemfontein,DUDLEY VIZZA,Huyler's Imports AK,,,130 Kort St,Bloemfontein,Free State,9313,ZA,7783,f,,085 130 5210
56367470463573,Planet Profit Developments,"89 Barker Street, EWLYAMARTUP, WA, 6317",Active,EWLYAMARTUP,BUNNY CALLOWAY,Planet Profit Developments,,,89 Barker Street,EWLYAMARTUP,WA,6317,AU,621,f,,(08) 9026 8971
66303773648875,KEITH VALENTINE,"3701 Weekley Street, San Antonio, TX, 78217",Active,San Antonio,,KEITH VALENTINE,,,2074 Duffy Street,San Antonio,IN,46410,US,4141,f,,210-367-8580
68255636913903,ARMENTAR SORIA,"Rua Alegria 3, Lordelo, Porto, 4580-426",Active,Lordelo,,ARMENTAR SORIA,,,Rua Alegria 3,Lordelo,Porto,4580-426,PT,3836,f,,21 227 631 2791
69963674988101,MOORE DESILETS,"Rue de Genville 228, Pecq, WHT, 7740",Active,Pecq,,MOORE DESILETS,,,Rue de Genville 228,Pecq,WHT,7740,BE,6811,f,,0495 70 66 90
71309380625311,KATHLEEN BRAGG,"2536 McVaney Road, Asheville, NC, 28801",Active,Asheville,,KATHLEEN BRAGG,,,2536 McVaney Road,Asheville,NC,28801,US,4310,f,,828-240-3119
79566724877131,RODNEY LYNCH,"1979 Woodvale Drive, Dorchester, ON, N0L 1G2",Active,Dorchester,,RODNEY LYNCH,,,1979 Woodvale Drive,Dorchester,ON,N0L 1G2,CA,1704,f,,519-268-1991
99867269871848,ANTONINO NAPOLIT,"Via Paolo Gaidano 84, Lignano Pine, UD, 33054",Active,Lignano Pine,RACQUEL SOLMAN,ANTONINO NAPOLIT,,,Via Paolo Gaidano 84,Lignano Pine,UD,33054,IT,2560,f,,0378 3591667
2202104313116,LEAL ROBLES,"1958 Clark Street, Buffalo Grov, IL, 60089",Active,Buffalo Grov,MELAINE WOLFROM,LEAL ROBLES,,,1958 Clark Street,Buffalo Grov,IL,60089,US,5605,f,,630-970-4251
4635372917468,KATHLEEN BRAGG,"2536 McVaney Road, Asheville, NC, 28801",Active,Asheville,,KATHLEEN BRAGG,,,2536 McVaney Road,Asheville,NC,28801,US,5171,f,,828-240-3119
9635557706685,Sportswest Imports Ltd,"Budapester Strasse 62, Wilstedt, NI, 27412",Active,Wilstedt,,Sportswest Imports Ltd,,,An der Alster 69,Wilstedt,MV,19410,DE,5438,f,,
10599008509099,MARGARET SANTANA,"De Zaan 125, Dronten, FL, 8251 WE",Active,Dronten,,MARGARET SANTANA,,,De Zaan 125,Dronten,FL,8251 WE,NL,7936,f,,06-76100839
12645630213451,ORLANDO RIZZO,"Via Nuova Agnano 87, Sant'Angelo, FI, 50010",Active,Sant'Angelo,,ORLANDO RIZZO,,,Via Nuova Agnano 87,Sant'Angelo,FI,50010,IT,9830,f,,0364 9611991
12649854473994,Anderson-Little Imports Dev,"Via Giacinto Gigante 136, San Martino, MO, 41055",Active,San Martino,,Anderson-Little Imports Dev,,,Via Giacinto Gigante 136,San Martino,MO,41055,IT,1786,f,,0369 3643123
25373010679072,Magna Gases Imports e.G,"Lahof 16, EISENREICHS, Lower Austria, 3834",Active,EISENREICHS,KATELYN BATTEIGER,Magna Gases Imports e.G,,,Lahof 16,EISENREICHS,Lower Austria,3834,AT,4015,f,,0650 900 25 50
34761930580536,ELVIN LOPEZ,"1844 Sandown Rd, Bitterfontei, Western Cape, 8204",Active,Bitterfontei,,ELVIN LOPEZ,,,600 Florence Street,Bitterfontei,TX,75401,ZA,6730,f,,085 634 6443
44453036671652,MONICA DICK,"29 Muscat Street, WINDABOUT, WA, 6450",Active,WINDABOUT,,MONICA DICK,,,31 Wallum Court,WINDABOUT,NSW,2484,AU,8667,f,,(08) 9039 1641
45236624204286,JETT O'SHAUGHNES,"33 Chester Street, BUNGALORA, NSW, 2486",Active,BUNGALORA,,JETT O'SHAUGHNES,,,33 Chester Street,BUNGALORA,NSW,2486,AU,4701,f,,
48526466205414,AUSTIN THORBY,"3934 Southern Avenue, Kanawha, IA, 50447",Active,Kanawha,SUE DUSHANE,AUSTIN THORBY,,,3934 Southern Avenue,Kanawha,IA,50447,US,3789,f,,
69750388675057,Playworld Imports Limited,"4077 Worthington Drive, Grand Prairi, TX, 75050",Active,Grand Prairi,,Playworld Imports Limited,,,4077 Worthington Drive,Grand Prairi,TX,75050,US,6254,f,,972-558-3717
72257807347614,TAYLAH MIRAMS,"C/ Manuel Iradier 31, Facheca, Alicante, 03813",Active,Facheca,,TAYLAH MIRAMS,,,354 Pinnickinick Street,Facheca,WA,98631,ES,3742,f,,
73446835796069,BERND DUERR,"Konstanzer Strasse 38, Niederdorfel, HE, 61138",Active,Niederdorfel,,BERND DUERR,,,Ausserp�hret 29,Niederdorfel,Upper Austria,4720,DE,5407,f,,06101 33 74 70
79477708157542,KELLI KINNEY,"2430 Bond Street, Providence, RI, 02905",Active,Providence,,KELLI KINNEY,,,25 Edward Bennett Drive,Providence,NSW,2138,US,4502,f,,
82579186125784,Consumers Food and Drug Imports Ek.,"2793 Alfred Drive, Brooklyn, NY, 11234",Active,Brooklyn,MARICA GREEVER,Consumers Food and Drug Imports Ek.,,,2793 Alfred Drive,Brooklyn,NY,11234,US,5195,f,,718-241-4401
83276344974077,Landskip Yard Care EEI,"1267 Cooks Mine Road, Datil, NM, 87821",Active,Datil,,Landskip Yard Care EEI,,,1267 Cooks Mine Road,Datil,NM,87821,US,394,f,,505-772-2096
84808384988063,Lionel Kiddie City EEI,"Martinpolku 6, KOUVOLA, Kymenlaakso, 45160",Active,KOUVOLA,,Lionel Kiddie City EEI,,,Martinpolku 6,KOUVOLA,Kymenlaakso,45160,FI,4211,f,,
835395708857,Raleigh's gomei-kaisha,"Konstanzer Strasse 23, Ortenberg, HE, 63683",Active,Ortenberg,,Raleigh's gomei-kaisha,,,Konstanzer Strasse 23,Ortenberg,HE,63683,DE,4252,f,,06049 64 74 14
1971136114537,JONNE VILJAKAINE,"Sahantie 72, TAMPERE, Pirkanmaa, 33210",Active,TAMPERE,,JONNE VILJAKAINE,,,Sahantie 72,TAMPERE,Pirkanmaa,33210,FI,1495,f,,041 586 9862
26639517764255,Compact Disc Center Imports EEI,"81 Creek Street, DUCKLO, QLD, 4405",Active,DUCKLO,,Compact Disc Center Imports EEI,,,11 Sale Street,DUCKLO,NSW,2800,AU,1965,f,,(07) 4527 0335
41901560325584,Henry's S.A,"4465 Camden Place, Isle Of Palm, SC, 29451",Active,Isle Of Palm,,Henry's S.A,,,4465 Camden Place,Isle Of Palm,SC,29451,US,7439,f,,843-883-2612
45926827948953,MATT ELMORE,"218 St. John Street, Lake Alma, SK, S4P 3Y2",Active,Lake Alma,,MATT ELMORE,,,2298 Centennial Farm Road,Lake Alma,IA,51231,CA,4399,f,,306-447-1039
62239245800260,ALEXANDE DAVEY,"13 Abbey Row, NOSELEY, LE7 5FE",Active,NOSELEY,SHON BABIONE,ALEXANDE DAVEY,,,13 Abbey Row,NOSELEY,,LE7 5FE,GB,6148,f,,078 1276 5761
81021057407584,Big Apple Cor,"64 Denison Road, RED HILL, VIC, 3937",Active,RED HILL,SHERRIE SILKER,Big Apple Cor,,,30 Weemala Avenue,RED HILL,NSW,2810,AU,4838,f,,(03) 9570 6030
83212223644040,SEYMOUR VADNAIS,"Trollveien 41, NITTEDAL, 1482",Active,NITTEDAL,,SEYMOUR VADNAIS,,,Rue Haute 6,NITTEDAL,VBR,1840,NO,5604,f,,476 03 524
83294190360649,EDITH COWMAN,"1583 Derby Ave, Kempton Park, Gauteng, 1638",Active,Kempton Park,,EDITH COWMAN,,,1583 Derby Ave,Kempton Park,Gauteng,1638,ZA,2872,f,,085 463 0529
94331295468819,TIMOTHY MCGUIRE,"55 Scenic Road, NUMBLA VALE, NSW, 2628",Active,NUMBLA VALE,,TIMOTHY MCGUIRE,,,31 Weemala Avenue,NUMBLA VALE,NSW,2805,AU,8737,f,,(02) 6105 0292
96501296777868,Jacobs e.G,"5 Moores Drive, PERTH GPO, WA, 6000",Active,PERTH GPO,SHELBA ZIEBER,Jacobs e.G,,,52 Mnimbah Road,PERTH GPO,NSW,2319,AU,2947,f,,(08) 9284 0188
98407203368026,PROTASIO PADOVES,"Strada Statale 11, Mosso Santa, BI, 13822",Active,Mosso Santa,,PROTASIO PADOVES,,,Via Antonio da Legnago 38,Mosso Santa,RC,89040,IT,8816,f,,0316 4119391
98667180964302,FREDDIE HOLMES,"2338 Traders Alley, Kansas City, MO, 64106",Active,Kansas City,COLLEEN JERKINS,FREDDIE HOLMES,,,72 Hudson St,Kansas City,,EX6 3NP,US,4898,f,,816-346-0962
21008349730075,ISAAC TENNANT,"2267 Meadowcrest Lane, Lexington, KY, 40507",Active,Lexington,,ISAAC TENNANT,,,2267 Meadowcrest Lane,Lexington,KY,40507,US,402,f,,606-509-4666
26436605758349,Lazysize VOF,"1894 Islington Ave, Toronto, ON, M8V 3B6",Active,Toronto,,Lazysize VOF,,,1894 Islington Ave,Toronto,ON,M8V 3B6,CA,3782,f,,416-255-3541
30032934868430,ARNOLD THOMPSON,"4629 Birch Street, Plainfield, IN, 46168",Active,Plainfield,HECTOR BATRA,ARNOLD THOMPSON,,,3563 Twin Willow Lane,Plainfield,NC,27203,US,434,f,,317-838-9077
37053122750020,Midwest TV & Appliance Imports PLC,"61 Brown Street, ROSEVILLE CH, NSW, 2069",Active,ROSEVILLE CH,,Midwest TV & Appliance Imports PLC,,,61 Brown Street,ROSEVILLE CH,NSW,2069,AU,1434,f,,(02) 9221 4573
40652022281090,JONNE VILJAKAINE,"Sahantie 72, TAMPERE, Pirkanmaa, 33210",Active,TAMPERE,SHERIDAN LARES,JONNE VILJAKAINE,,,Sahantie 72,TAMPERE,Pirkanmaa,33210,FI,9091,f,,041 586 9862
44655764794193,ANTHONY MAUM,"23 Muscat Street, BURAMINYA, WA, 6452",Active,BURAMINYA,,ANTHONY MAUM,,,23 Muscat Street,BURAMINYA,WA,6452,AU,5570,f,,
47990635545975,Jackhammer Technologies R.L,"Avenida Sacadura Cabral 72, Pontinha, Lisboa, 1675-240",Active,Pontinha,,Jackhammer Technologies R.L,,,Avenida Sacadura Cabral 72,Pontinha,Lisboa,1675-240,PT,6164,f,,21 217 458 1595
59432955746478,Brilliant Home Designs LLC,"950 rue Levy, Montreal, QC, H3C 5K4",Active,Montreal,,Brilliant Home Designs LLC,,,950 rue Levy,Montreal,QC,H3C 5K4,CA,4929,f,,514-714-4806
63539084382737,FREIDA EUBANKS,"4101 Amethyst Drive, Lansing, MI, 48933",Active,Lansing,,FREIDA EUBANKS,,,4101 Amethyst Drive,Lansing,MI,48933,US,2297,f,,517-285-6092
65425562149762,Indiewealth Agricultural,"65 Nerrigundah Drive, BLIND BIGHT, VIC, 3980",Active,BLIND BIGHT,,Indiewealth Agricultural,,,65 Nerrigundah Drive,BLIND BIGHT,VIC,3980,AU,6053,f,,(03) 9695 8803
70515807855824,JOHN YOUNG,"4745 Glen Long Avenue, Toronto, ON, M6B 1J8",Active,Toronto,DEANNA CROWFORD,JOHN YOUNG,,,4745 Glen Long Avenue,Toronto,ON,M6B 1J8,CA,6518,f,,416-787-9997
79474747154622,Sportswest Imports Ltd,"Budapester Strasse 62, Wilstedt, NI, 27412",Active,Wilstedt,,Sportswest Imports Ltd,,,An der Alster 69,Wilstedt,MV,19410,DE,5082,f,,
79602350554951,YVONNE JUDE,"4 Eshelby Drive, RASMUSSEN, QLD, 4815",Active,RASMUSSEN,,YVONNE JUDE,,,37 Black Point Drive,RASMUSSEN,SA,5608,AU,8809,f,,(07) 4030 4917
80742656282320,GERALD PINKERTON,"2009 North Street, Zeerust, North West, 2885",Active,Zeerust,,GERALD PINKERTON,,,2009 North Street,Zeerust,North West,2885,ZA,5334,f,,082 471 5607
82100847174120,Envirotecture Design Inc,"Heikkurintie 30, ALAVUS, Southern Ostrobothnia, 63300",Active,ALAVUS,,Envirotecture Design Inc,,,Heikkurintie 30,ALAVUS,Southern Ostrobothnia,63300,FI,8254,f,,041 075 9455
84894406264411,Musicland Imports Cia.,"4174 Trails End Road, Fort Lauderd, FL, 33301",Active,Fort Lauderd,,Musicland Imports Cia.,,,4174 Trails End Road,Fort Lauderd,FL,33301,US,3733,f,,954-273-1396
86141346336563,OSCAR WORSNOP,"84 Grey Street, MASSEY BAY, WA, 6701",Active,MASSEY BAY,ROCIO SANTOPOLO,OSCAR WORSNOP,,,84 Grey Street,MASSEY BAY,WA,6701,AU,9097,f,,(08) 9001 6890
90237050235687,MICHELLE ACTON,"3690 Front Street, Southfield, MI, 48075",Active,Southfield,,MICHELLE ACTON,,,3690 Front Street,Southfield,MI,48075,US,8903,f,,810-354-8835
93848099561624,Merry-Go-Round Imports de,"Gotzkowskystrasse 19, Brieden, RP, 56829",Active,Brieden,,Merry-Go-Round Imports de,,,Gotzkowskystrasse 19,Brieden,RP,56829,DE,6088,f,,02672 77 12 42
5404063906546,TORSTEN OSTER,"Bremschlstrasse 64, HOLZWIESEN, Upper Austria, 4611",Active,HOLZWIESEN,WILLIEMAE FANCHER,TORSTEN OSTER,,,Bremschlstrasse 64,HOLZWIESEN,Upper Austria,4611,AT,4747,f,,
14625936592588,CSK Auto Imports S.A,"Biezenwei 98, Tiel, GE, 4004 MB",Active,Tiel,,CSK Auto Imports S.A,,,Biezenwei 98,Tiel,GE,4004 MB,NL,8450,f,,
22597675721420,SALOMONE RICCI,"2526 Hanover Street, Brooklyn, NY, 11206",Active,Brooklyn,,SALOMONE RICCI,,,Via Goffredo Mameli 53,Brooklyn,RN,47842,US,497,f,,917-643-0800
24029081974052,PHILIPP WEISSMUL,"Hauptstrasse 26, Montcherand, 1354",Active,Montcherand,,PHILIPP WEISSMUL,,,Hauptstrasse 26,Montcherand,,1354,CH,4707,f,,021 485 50 74
34754455021644,SARAH BURNETT,"40 Henley Beach Road, BULL CREEK, SA, 5157",Active,BULL CREEK,,SARAH BURNETT,,,40 Henley Beach Road,BULL CREEK,SA,5157,AU,1706,f,,(08) 8286 8732
36306905225797,Quality Realty Service Imports Limited,"Altaarstraat 132, Schinnen, LI, 6365 AK",Active,Schinnen,,Quality Realty Service Imports Limited,,,Altaarstraat 132,Schinnen,LI,6365 AK,NL,8040,f,,06-94242530
45089189718364,ManPower Imports SICAV,"59 Buckingham Rd, THORNEY, NG23 6XW",Active,THORNEY,WILLIE GAWRON,ManPower Imports SICAV,,,59 Buckingham Rd,THORNEY,,NG23 6XW,GB,6021,f,,078 8976 5653
48334189178659,JOHN BROWN,"1331 Lucky Duck Drive, Pittsburgh, PA, 15222",Active,Pittsburgh,,JOHN BROWN,,,1331 Lucky Duck Drive,Pittsburgh,PA,15222,US,8663,f,,412-780-2306
51327324296969,MAXIMILI SCHERER,"Schulgasse 36, ZIEGENBERG, Styria, 8262",Active,ZIEGENBERG,,MAXIMILI SCHERER,,,Vallerstrasse 79,ZIEGENBERG,,7156,AT,7032,f,,0660 891 58 10
52103742548389,MATTIE OHARE,"129 Burger St, Sibasa, Limpopo, 0989",Active,Sibasa,MACKENZIE OVERLEY,MATTIE OHARE,,,129 Burger St,Sibasa,Limpopo,989,ZA,8441,f,,083 580 0647
65828872940672,RYDER JESSOP,"1587 Whitetail Lane, Frisco, TX, 75034",Active,Frisco,SHAQUANA MATSUOKA,RYDER JESSOP,,,49 Gilbert Street,Frisco,TAS,7320,US,8981,f,,469-384-2129
70298372284204,Mages Sahis,"Konstanzer Strasse 50, Gelnhausen, HE, 63571",Active,Gelnhausen,,Mages Sahis,,,Konstanzer Strasse 50,Gelnhausen,HE,63571,DE,3816,f,,06051 34 84 11
70302622448389,ROBERT GIBSON,"632 Red Dog Road, Charlotte, NC, 28202",Active,Charlotte,ELDORA ANNETT,ROBERT GIBSON,,,632 Red Dog Road,Charlotte,NC,28202,US,1145,f,,704-338-3952
71441963642602,Camelot Music Imports Corporation,"4072 Irving Road, Zanesville, OH, 43701",Active,Zanesville,,Camelot Music Imports Corporation,,,4072 Irving Road,Zanesville,OH,43701,US,170,f,,740-454-2697
76924824231786,Asian Solutions Imports SICAV,"1904 Cheriton Dr, Port Shepsto, KwaZulu-Natal, 4240",Active,Port Shepsto,,Asian Solutions Imports SICAV,,,1904 Cheriton Dr,Port Shepsto,KwaZulu-Natal,4240,ZA,5032,f,,083 345 3211
88478885829971,NORMA FOSTER,"12 McKillop Street, LANGI LOGAN, VIC, 3377",Active,LANGI LOGAN,,NORMA FOSTER,,,6 Acheron Road,LANGI LOGAN,VIC,3850,AU,5861,f,,(03) 5307 6400
89233512255919,MARIANNE BURTON,"5 Cloch Rd, ST HELENS, PO33 0SY",Active,ST HELENS,ELIN PENALVER,MARIANNE BURTON,,,5 Cloch Rd,ST HELENS,,PO33 0SY,GB,9192,f,,077 2915 9464
90048682187670,Strategic Profit Developments,"81 Lamphey Road, THE VAULD, HR1 7ZY",Active,THE VAULD,ROMA REITZES,Strategic Profit Developments,,,81 Lamphey Road,THE VAULD,,HR1 7ZY,GB,4517,f,,077 1368 8013
91864018866592,AMELIE WRENFORDS,"37 Carnegie Avenue, GREENOUGH, WA, 6532",Active,GREENOUGH,ERNIE SASSAMAN,AMELIE WRENFORDS,,,37 Carnegie Avenue,GREENOUGH,WA,6532,AU,7788,f,,(08) 9025 1395
95162205897100,JADE PREISS,"8 Moruya Road, HEREFORD HAL, NSW, 2622",Active,HEREFORD HAL,GALE BAGU,JADE PREISS,,,76 Milbrodale Road,HEREFORD HAL,NSW,2330,AU,3639,f,,(02) 6140 7845
96085572191860,Shoe Town Manufacturing,"Brucknerweg 75, Haldenstein, 7023",Active,Haldenstein,,Shoe Town Manufacturing,,,Brucknerweg 75,Haldenstein,,7023,CH,2093,f,,081 302 37 76
11749596604037,MIA PRITCHARD,"2194 Bezuidenhout St, Balfour, Mpumalanga, 2410",Active,Balfour,,MIA PRITCHARD,,,2194 Bezuidenhout St,Balfour,Mpumalanga,2410,ZA,6911,f,,085 698 9768
13301388867044,TOM EBERHART,"Jakobstrasse 39, Oftringen, 4665",Active,Oftringen,,TOM EBERHART,,,Frauentaler Strasse 74,Oftringen,Upper Austria,4076,CH,7130,f,,062 778 23 65
22435039319293,Dick Fischers Imports Ltd,"4349 Dufferin Avenue, Toronto, ON, M5J 2N8",Active,Toronto,WM NATWICK,Dick Fischers Imports Ltd,,,4349 Dufferin Avenue,Toronto,ON,M5J 2N8,CA,9666,f,,416-848-7389
34253786690834,IVEN CAILOT,"Orchideeenlaan 41, Membre, WNA, 5550",Active,Membre,,IVEN CAILOT,,,Orchideeenlaan 41,Membre,WNA,5550,BE,9542,f,,0475 37 80 02
44259480331258,KEVIN MCCAULEY,"651 Fieldcrest Road, Deerpark, NY, 11729",Active,Deerpark,,KEVIN MCCAULEY,,,84 Elizabeth Street,Deerpark,QLD,4570,US,6357,f,,631-932-5363
49354662867620,VELVA FINK,"Kirchenplatz 21, AUSSERFAHRAF, Lower Austria, 3184",Active,AUSSERFAHRAF,LETICIA ALEJO,VELVA FINK,,,Kirchenplatz 21,AUSSERFAHRAF,Lower Austria,3184,AT,7084,f,,0680 866 35 45
59795762670257,LaBelle's Imports AKF,"500 Jasper Ave, Edmonton, AB, T5J 3N6",Active,Edmonton,,LaBelle's Imports AKF,,,1091 George Street,Edmonton,ON,K9H 2L1,CA,7958,f,,780-952-8979
60415063995968,Crandall's Fine Furniture S.M.B.A,"4433 Ross Street, Carbondale, IL, 62901",Active,Carbondale,,Crandall's Fine Furniture S.M.B.A,,,4433 Ross Street,Carbondale,IL,62901,US,959,f,,618-203-2815
64102036738050,Marianne Developments,"1897 Robertson Ave, Roedtan, Limpopo, 0580",Active,Roedtan,,Marianne Developments,,,1897 Robertson Ave,Roedtan,Limpopo,580,ZA,2695,f,,085 173 7324
67398472499219,ANNETT HIMMEL,"Ellmenreichstrasse 44, Forchheim, BY, 91294",Active,Forchheim,ERROL SHUEMAKER,ANNETT HIMMEL,,,Ellmenreichstrasse 44,Forchheim,BY,91294,DE,5516,f,,09191 19 56 50
75506917729044,EMIL SUNDT,"59 Duffy Street, Gary, IN, 46402",Active,Gary,STACEY TANSIL,EMIL SUNDT,,,H�leb�cksv�gen 80,Gary,,521 93,US,6941,f,,219-882-5360
