cus_id_no,cus_stat,bus_registered_name,bus_registration_no,bus_ctry_registration,cus_start_dt,cus_end_dt,personal_bus_flg,gender,initials,forename,family_name,maiden_name,full_name,nationality,cus_risk_rtng,employee_flag,residence_ctry,consolidated_cust_address,personal_national_id_no,dt_of_birth
16086042411,A,,.,,2003-04-22T00:00:00.000+00:00,,P,F,A,Anne,Jones,VIZZA,Anne Jones,US,7800,f,US,"1399 Barfield Lane, Indianapolis, IN, 46241",67361105,
43574494923,C,Builders Emporium Imports LLC,66363060,AT,1990-04-15T00:00:00.000+00:00,2004-03-25T00:00:00.000+00:00,B,,,,,,,,.,,AT,"Aspernstrasse 85, SCHLAIPF, Carinthia, 9863",.,
97533632481,A,,.,,2000-01-06T00:00:00.000+00:00,,P,F,D,David,Torres,,David Torres,US,7370,f,US,"3813 Petunia Way, Birmingham, AL, 35214",205960548,1985-08-06
71512574292,C,,.,,1996-09-27T00:00:00.000+00:00,2009-09-20T00:00:00.000+00:00,P,M,P,Philipp,Weissmuller,,Philipp Weissmul,CH,8805,f,CH,"Hauptstrasse 26, Montcherand, 1354",826864372,1984-07-08
45399002461,C,Omni Source Imports Co,945879665,US,1993-11-11T00:00:00.000+00:00,2005-06-20T00:00:00.000+00:00,B,,,,,,,,.,,US,"923 Polk Street, Tucson, AZ, 85701",.,
61476930187,C,,.,,1996-03-15T00:00:00.000+00:00,2009-09-26T00:00:00.000+00:00,P,M,S,Selahatt,Bennink,,Selahatt Bennink,NL,8834,f,NL,"Hoogstraat 40, Wageningen, GE, 6701 BL",371188446,1971-06-01
40658580619,A,,.,,1995-11-15T00:00:00.000+00:00,,P,F,E,Eliza,Heffron,,Eliza Heffron,US,7129,f,US,"2274 Waldeck Street, Arlington, TX, 76013",41935519,1983-11-16
46349079480,A,,.,,2008-05-26T00:00:00.000+00:00,,P,F,R,Rose,Hestvik,,Rose Hester,NO,1838,f,NO,"Gullholmen 10, MOSS, 1519",257166030,1978-04-23
98921642141,C,Rolling Thunder Empresa,60720,CY,1994-03-15T00:00:00.000+00:00,2008-01-14T00:00:00.000+00:00,B,,,,,,,,.,,AU,"20 Creedon Street, FAWKNER NORT, VIC, 3060",.,
3210973520,C,,.,,1996-03-12T00:00:00.000+00:00,1999-07-17T00:00:00.000+00:00,P,M,O,Orlando,Stobie,,Orlando Stlouis,AU,7363,f,AU,"41 Frencham Street, TOOMA, NSW, 2642",484150464,1976-12-29
13717578165,A,Superior Interactive Imports Dev,525132628,AU,2002-12-26T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"12 Boulter Close, GARRADUNGA, QLD, 4860",.,
17566214801,A,Play Town SICAV,68279873,IT,2006-02-06T00:00:00.000+00:00,,B,,,,,,,,.,,IT,"Corso Garibaldi 41, Castelliri, FR, 03030",.,
71606810880,A,Casa Bonita Imports LLP,90116040,HT,2006-10-06T00:00:00.000+00:00,,B,,,,,,,,.,,US,"3273 Lightning Point Drive, Memphis, TN, 38118",.,
70459148571,C,,.,,1999-05-14T00:00:00.000+00:00,2003-11-02T00:00:00.000+00:00,P,F,D,Doris,Pinkerton,DEVIVO,Doris Pinkerton,ZA,308,f,ZA,"665 Mosman Rd, Galeshewe, Northern Cape, 8330",936112988,1981-01-08
19283560980,C,,.,,1998-07-03T00:00:00.000+00:00,2000-11-22T00:00:00.000+00:00,P,M,W,Wesley,Enriquez,,Wesley Enriquez,ZA,6594,f,ZA,"2412 Burger St, Sibasa, Limpopo, 0970",689452889,1984-04-07
44028599384,A,,.,,2003-11-14T00:00:00.000+00:00,,P,F,O,O,Cunningham,,Olivia Cunneen,AU,3437,f,AU,"8 Moores Drive, ANDAMOOKA, SA, 5722",902601822,
91666642201,C,Mr. Good Buys R.L,88265474,BE,1999-12-25T00:00:00.000+00:00,2000-11-21T00:00:00.000+00:00,B,,,,,,,,.,,BE,"Serenade Opus 149, Vosselare, VOV, 9850",.,
24802407474,A,Jack Lang EEIG,76359927,IT,2002-02-24T00:00:00.000+00:00,,B,,,,,,,,.,,IT,"Via Campi Flegrei 92, Altamura, BA, 70022",.,
35799827821,A,,.,,2004-11-01T00:00:00.000+00:00,,P,F,M,Mitchell,Jones,,Mitchell Jones,ZA,6196,f,ZA,"258 Schoeman St, Pretoria, Gauteng, 0079",91348210,1981-08-27
41422988490,A,,.,,2007-02-09T00:00:00.000+00:00,,P,M,T,Timothy,Day,,Timothy Day,US,4915,f,US,"3012 Williams Mine Road, Newark, NJ, 07102",822277370,1976-05-22
26572309221,A,,.,,2002-08-03T00:00:00.000+00:00,,P,M,A,Alexande,Craigie,,Alexande Craigie,AU,9856,f,AU,"68 Oriana Street, MARDI, NSW, 2259",547185056,1970-09-14
70142234388,A,,.,,2006-10-22T00:00:00.000+00:00,,P,M,J,James,Green,,James Green,US,4640,f,US,"4284 Joyce Street, Mobile, AL, 36610",882157834,1989-09-09
25259619871,A,,.,,2000-06-22T00:00:00.000+00:00,,P,F,A,Amelie,Wrenn,,Amelie Wrenfords,US,2005,f,US,"2568 Penn Street, Meta, MO, 65058",62725031,1972-06-23
46545008841,A,,.,,2007-11-01T00:00:00.000+00:00,,P,M,K,Klaus,Fuerst,,Klaus Fuerst,DE,6999,f,DE,"Genterstrasse 73, Kiel, SH, 24096",902020969,1979-05-01
66330603856,C,,.,,1994-01-26T00:00:00.000+00:00,2007-01-20T00:00:00.000+00:00,P,M,T,Ton,Bertram,EINHORN,Ton Bertram,NL,4529,f,NL,"Schoolstraat 99, Oirsbeek, LI, 6438 JD",472506286,
70810409126,C,,.,,1995-01-27T00:00:00.000+00:00,1997-05-12T00:00:00.000+00:00,P,F,A,Alica,Baughan,,Alica Baughan,AU,6360,f,AU,"35 Webb Road, JESMOND, NSW, 2299",169838589,1985-07-28
34079353637,C,,.,,1990-03-10T00:00:00.000+00:00,1996-05-27T00:00:00.000+00:00,P,M,N,Nino,Fallaci,,Nino Fallaci,IT,5722,f,IT,"Via Torricelli 85, Deggiano, TN, 38020",850731478,
93917875620,A,Chase Pitkin Imports Ltda.,8209127,AT,2004-08-20T00:00:00.000+00:00,,B,,,,,,,,.,,AT,"Ruster Strasse 9, PAASDORF, Lower Austria, 2130",.,
51708017151,C,,.,,1991-11-13T00:00:00.000+00:00,2009-07-02T00:00:00.000+00:00,P,M,F,Finlay,Turner,,Finlay Turner,GB,7637,f,GB,"52 St Andrews Lane, CWMDARE, CF44 6YG",312794756,1983-03-02
37173377427,A,Super Place Imports NV,191089697,AU,2001-05-12T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"27 Dora Creek, MCKEES HILL, NSW, 2480",.,
96025978982,C,,.,,1990-03-11T00:00:00.000+00:00,2000-03-24T00:00:00.000+00:00,P,M,L,L,Nannings,,Lloyd Nannings,DJ,2730,f,NL,"Liesenbeemd 13, Breda, NB, 4824 NS",72012213,1972-05-19
69976614933,A,,.,,2006-01-15T00:00:00.000+00:00,,P,M,A,Andreas,Meyer,,Andreas Meyer,US,4481,f,US,"609 Hardman Road, South London, VT, 05155",573401485,1970-03-25
60998307947,A,Silverwoods e.G,300522,US,2001-03-06T00:00:00.000+00:00,,B,,,,,,,,.,,US,"37 Poplar Avenue, San Diego, CA, 92139",.,
63606867846,C,De Pinna Imports R.L,58879192,US,1991-10-26T00:00:00.000+00:00,2006-03-01T00:00:00.000+00:00,B,,,,,,,,.,,US,"3330 Dovetail Drive, Burr Ridge, IL, 60527",.,
38536367166,A,,.,,2005-09-05T00:00:00.000+00:00,,P,M,R,Robert,Ford,FINGERHUT,Robert Ford,US,6078,f,US,"2913 Summit Street, Davenport, IA, 52801",223390841,1972-05-09
99361370051,A,,.,,2008-08-02T00:00:00.000+00:00,,P,M,M,Michael,Goldie,,Michael Goldhar,AU,3225,f,AU,"98 Wilson Street, CULGOA, VIC, 3530",751606185,
84695337424,C,J. B. Van Sciver Sahis,53976,AU,1992-08-22T00:00:00.000+00:00,2004-10-17T00:00:00.000+00:00,B,,,,,,,,.,,AU,"27 Boonah Qld, WOOLOOMAN, QLD, 4310",.,
88786718400,A,Ernst Home Centers Imports Ltd,552749,GB,2008-12-26T00:00:00.000+00:00,,B,,,,,,,,.,,GB,"33 Grenoble Road, BRIDGE OF DE, AB31 0SG",.,
31068670963,A,,.,,2006-11-14T00:00:00.000+00:00,,P,F,M,Marie,Wurfel,,Marie Wurfel,AT,2066,f,AT,"Marktplatz 49, RETTENSTEIN, Salzburg, 5600",294571418,1980-08-22
78491828191,A,,.,,2003-06-01T00:00:00.000+00:00,,P,M,M,Martin,Traugott,,Martin Traugott,AT,2267,f,AT,"Goethestrasse 78, FLOITENSBERG, Salzburg, 5600",261693730,1976-12-25
40961716875,A,,.,,2004-03-19T00:00:00.000+00:00,,P,M,R,Randy,Nisbet,,Randy Nino,US,9495,f,US,"3140 Cedarstone Drive, Defiance, OH, 43512",576251808,1971-11-09
73064041641,A,Sounds Great Inc Corporation,2795526,VN,1994-10-03T00:00:00.000+00:00,,B,,,,,,,,.,,ES,"Padre Caro 20, Viso del Mar, Ciudad Real, 13770",.,
14056737581,A,,.,,2004-07-06T00:00:00.000+00:00,,P,F,K,Kathleen,Bragg,,Kathleen Bragg,US,4783,f,US,"2536 McVaney Road, Asheville, NC, 28801",8816310,
9977322019,C,,.,,1997-12-10T00:00:00.000+00:00,2006-04-01T00:00:00.000+00:00,P,M,S,Samuele,Pugliesi,,Samuele Pugliesi,IT,7487,f,IT,"Corso Novara 89, Orotelli, NU, 08020",605766347,1971-05-02
42245508035,C,,.,,1991-09-26T00:00:00.000+00:00,2004-09-27T00:00:00.000+00:00,P,F,V,Velva,Finkel,,Velva Fink,AT,1093,f,AT,"Kirchenplatz 21, AUSSERFAHRAF, Lower Austria, 3184",786609473,1988-04-27
92677768695,C,,.,,1999-11-10T00:00:00.000+00:00,2008-12-03T00:00:00.000+00:00,P,F,I,Isabella,Venne,,Isabella Venn,US,8760,f,US,"2058 Green Avenue, Alameda, CA, 94501",564125790,1977-11-20
48000451145,A,,.,,2008-09-18T00:00:00.000+00:00,,P,M,J,Jyri,Pokka,,Jyri Pokka,FI,4958,f,FI,"Snellmaninkatu 87, ESPOO, Uusimaa, 02810",435279725,1972-04-30
82303262428,C,,.,,1992-03-25T00:00:00.000+00:00,2005-10-07T00:00:00.000+00:00,P,M,M,Marko,Ebersbacher,,Marko Ebersbache,DE,9180,f,DE,"Kantstrasse 87, Oberasbach, BY, 90522",657520695,
36088179343,A,,.,,2006-01-16T00:00:00.000+00:00,,P,M,H,Hamish,Fraser,,Hamish Fraser,GB,7362,f,GB,"60 Jesmond Rd, KILMINGTON, BA12 6ZJ",737906096,1987-07-22
47015742105,A,,.,,1999-04-15T00:00:00.000+00:00,,P,M,D,Deco,Kuster,STREIT,Deco Kurutz,CH,953,f,CH,"Loorenstrasse 105, Churwalden, 7075",603010963,1978-07-12
11852533209,A,Lionel Playworld Imports R.L,309778,FR,2008-07-07T00:00:00.000+00:00,,B,,,,,,,,.,,FR,"99 rue Victor Hugo, CONCARNEAU, Bretagne, 29900",.,
39601847462,A,,.,,2006-09-26T00:00:00.000+00:00,,P,M,B,Billy,James,,Billy James,GB,2418,f,GB,"60 Greyfriars Road, CARDINGTON, SY6 4WH",882723357,1973-11-30
63967733547,C,,.,,1992-03-18T00:00:00.000+00:00,1995-01-24T00:00:00.000+00:00,P,M,T,Tom,Eberhart,,Tom Eberhart,CH,3846,f,CH,"Jakobstrasse 39, Oftringen, 4665",567994138,1980-07-27
41601910050,A,Adaptas NV,34420347,MA,2008-04-15T00:00:00.000+00:00,,B,,,,,,,,.,,US,"3365 Armory Road, Wilmington, NC, 28412",.,
61898005448,A,Hanover Shoe Imports Ek.,6052160,US,2001-01-15T00:00:00.000+00:00,,B,,,,,,,,.,,US,"1105 Roguski Road, Alexandria, LA, 71302",.,
99798232913,A,,.,,2004-06-14T00:00:00.000+00:00,,P,F,M,M,Williams,,Mamie Williams,US,9717,f,US,"3688 Sand Fork Road, Mishawaka, IN, 46544",482511227,1987-04-30
84693369221,A,Circuit City Corporation,329121,CH,2004-02-03T00:00:00.000+00:00,,B,,,,,,,,.,,CH,"Neubertbogen 12, Roggliswil, 6265",.,
28187447770,A,CSK Auto Imports Manufacturing,55053,US,2001-10-22T00:00:00.000+00:00,,B,,,,,,,,.,,US,"4843 Rainbow Drive, Canton, OH, 44702",.,
37109535962,C,,.,,1995-05-05T00:00:00.000+00:00,1995-11-11T00:00:00.000+00:00,P,F,M,Mildred,Eklund,,Mildred Eklund,US,1588,f,US,"2941 Jones Street, Grand Prairi, TX, 75051",88312585,1978-06-13
3517785371,C,Pro Star Garden Management Distribution,54333,ZA,1996-01-20T00:00:00.000+00:00,2006-12-19T00:00:00.000+00:00,B,,,,,,,,.,,ZA,"1910 Roger St, Lusikisiki, Eastern Cape, 4825",.,
1131192579,C,Great Western AK,946303073,NO,1993-08-12T00:00:00.000+00:00,2006-01-25T00:00:00.000+00:00,B,,,,,,,,.,,NO,"Ravelsveita 94, TRONDHEIM, 7011",.,
99056484596,A,A.J. August Fashion Wear Imports EE,47710652,NL,1995-06-25T00:00:00.000+00:00,,B,,,,,,,,.,,NL,"Van Sonstraat 136, Tilburg, NB, 5025 KD",.,
47923607728,C,,.,,1990-11-12T00:00:00.000+00:00,2001-02-19T00:00:00.000+00:00,P,M,B,Benjamin,Alexander,KULHANEK,Benjamin Alexand,GB,9301,f,GB,"12 Wern Ddu Lane, LUIB, IV49 0LR",650314893,1984-02-13
93945998818,A,,.,,2002-06-04T00:00:00.000+00:00,,P,M,C,Caesar,Jansson,,Caesar Jansson,SE,4573,f,SE,"Bodbysund 38, TIDAN, 540 18",466267483,
96833375167,C,,.,,1992-09-02T00:00:00.000+00:00,1999-10-11T00:00:00.000+00:00,P,M,F,Ferdinan,Ringrose,,Ferdinan Ringdal,AU,5444,f,AU,"7 Stanley Drive, WILSON BEACH, QLD, 4800",127515250,
72474508410,C,Sholl's Colonial Cafeteria LTD,252865,US,1999-04-05T00:00:00.000+00:00,1999-07-21T00:00:00.000+00:00,B,,,,,,,,.,,US,"4655 Preston Street, Phoenix, AZ, 85012",.,
59777491330,C,,.,,1998-02-13T00:00:00.000+00:00,2007-04-16T00:00:00.000+00:00,P,M,P,Pedro,Egan,LOBASSO,Pedro Egan,US,2992,f,US,"2017 Burwell Heights Road, Beaumont, TX, 77701",317772750,1971-04-23
54808727404,C,Standard Food Distribution,331947,US,1994-09-01T00:00:00.000+00:00,2000-03-08T00:00:00.000+00:00,B,,,,,,,,.,,US,"4417 Chapel Street, Dickinson, TX, 77539",.,
71577763925,A,,.,,2007-10-07T00:00:00.000+00:00,,P,M,R,Richard,Garcia,,Richard Garcia,US,7704,f,US,"1341 Sugarfoot Lane, Lafayette, IN, 47906",152981344,1982-07-12
21664189630,A,,.,,2009-03-13T00:00:00.000+00:00,,P,M,M,Marshall,Chandonnet,,Marshall Chandon,BE,6089,f,BE,"Berkendreef 465, Elouges, WHT, 7370",38797866,1981-12-28
66915447936,A,,.,,2008-02-07T00:00:00.000+00:00,,P,M,R,Ryder,Jessup,,Ryder Jessop,US,8771,f,US,"1587 Whitetail Lane, Frisco, TX, 75034",379840947,
7386790867,C,Macroserve gomei-kaisha,938555909,GB,1990-06-09T00:00:00.000+00:00,1998-01-18T00:00:00.000+00:00,B,,,,,,,,.,,GB,"7 Withers Close, ALMONDS-BURY, BS12 3AG",.,
73250930696,A,Copeland Sports Imports PLC,61923,PL,1993-12-23T00:00:00.000+00:00,,B,,,,,,,,.,,PL,"ul. Kryniczna 63, Warszawa, 03-934",.,
18142731513,A,,.,,2002-10-11T00:00:00.000+00:00,,P,M,O,Owen,Manning,,Owen Manning,GB,9105,f,GB,"94 Seafield Street, LLANVIHANGEL, NP5 7PH",174099682,1977-07-16
33264952836,A,Colonial Stores Imports S.A,142285952,US,2006-01-25T00:00:00.000+00:00,,B,,,,,,,,.,,US,"4087 Bicetown Road, Garden City, NY, 11530",.,
65425116304,C,Jafco Limited,223627,IT,1990-08-13T00:00:00.000+00:00,1993-03-06T00:00:00.000+00:00,B,,,,,,,,.,,IT,"Via Paolo Gaidano 112, Godia, UD, 33100",.,
57058712424,A,Acuserv Manufacturing,7278373,AU,2002-01-06T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"73 Eungella Road, DELTA, QLD, 4805",.,
1730934775,A,,.,,2004-09-04T00:00:00.000+00:00,,P,M,T,Torsten,Wirth,,Torsten Wirth,AT,150,f,AT,"Pertholzer Strasse 10, OISNITZ, Styria, 8503",48929436,
11833495142,A,,.,,2004-09-16T00:00:00.000+00:00,,P,M,J,Johann,Gloss,,Johann Gloppen,US,1820,f,US,"2234 College Street, Atlanta, GA, 30303",295266775,1972-08-20
9707827226,C,,.,,1994-01-17T00:00:00.000+00:00,2004-05-22T00:00:00.000+00:00,P,M,T,Tom,Eggers,,Tom Egger,CH,2201,f,CH,"Kronwiesenweg 5, Krattigen, 3704",379308998,
90289846636,A,,.,,2006-04-09T00:00:00.000+00:00,,P,M,J,Jonas,Kohl,,Jonas Kohl,AT,1447,f,AT,"Gewerbezentrum 57, STEG, Upper Austria, 4817",801933094,1985-11-17
78534345579,C,Muirhead's Imports Sahis,83089,US,1995-06-27T00:00:00.000+00:00,2002-06-17T00:00:00.000+00:00,B,,,,,,,,.,,US,"1774 Walnut Street, Hattiesburg, MS, 39401",.,
13442889599,A,StopGrey Ek.,20527,AU,2004-09-05T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"81 Sydney Road, TAMBAROORA, NSW, 2850",.,
61965212784,A,Sunflower Market Imports EEI,2709708,AU,2001-03-03T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"25 Goebels Road, MOUNT MORT, QLD, 4340",.,
28899359094,C,,.,,1990-01-09T00:00:00.000+00:00,1999-12-27T00:00:00.000+00:00,P,M,J,Jonah,Espinosa,,Jonah Espinosa,ES,4386,f,ES,"C/ Amoladera 79, Valdeavero, Madrid, 28816",626868213,
51325847294,C,Helios Air Sahis,960568,US,1997-08-01T00:00:00.000+00:00,2004-12-27T00:00:00.000+00:00,B,,,,,,,,.,,US,"3738 Jim Rosa Lane, Oakland, CA, 94612",.,
75092359628,A,,.,,2009-01-18T00:00:00.000+00:00,,P,M,F,Frank,Darnell,,Frank Darnell,US,9680,f,US,"1776 Asylum Avenue, Stamford, CT, 06902",442192596,1977-07-07
32913306621,A,Future Plan Imports FI,8638515,MP,2002-09-07T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"52 Gloucester Avenue, KILKENNY, SA, 5009",.,
63948086383,A,,.,,2005-01-10T00:00:00.000+00:00,,P,F,V,Virginia,Muncy,,Virginia Muncy,US,3321,f,US,"2016 Twin House Lane, Noel, MO, 64854",684873534,
81655321530,A,Awthentikz Imports S.A,85720567,BE,2007-04-23T00:00:00.000+00:00,,B,,,,,,,,.,,BE,"Rue de la Tannerie 4, Heindonk, VAN, 2830",.,
84466343068,A,,.,,1992-05-12T00:00:00.000+00:00,,P,F,K,Kelly,Jones,HALLGREN,Kelly Jones,US,7410,f,US,"3611 Cedar Street, Black Rock, AR, 72415",328099697,
68160910729,A,,.,,2003-11-17T00:00:00.000+00:00,,P,M,I,Innocenz,Padovano,,Innocenz Padovan,IT,4325,f,IT,"Piazza Garibaldi 48, Scurcola Mar, AQ, 67068",444800923,1986-10-19
90262153434,C,,.,,1994-08-04T00:00:00.000+00:00,1995-09-04T00:00:00.000+00:00,P,M,A,Aiden,O'Halloran,,Aiden O'Halloran,AU,7811,f,AU,"41 Corio Street, WHOOREL, VIC, 3243",480887367,1983-07-21
66501490069,A,Cougar Investment Imports Inc,3912259,AU,2002-07-12T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"62 Forrest Road, TILPA, NSW, 2840",.,
96244801301,C,,.,,1999-01-10T00:00:00.000+00:00,2005-01-13T00:00:00.000+00:00,P,M,R,Rory,Rouse,,Rory Rouse,AU,2275,f,AU,"31 Hodgson St, PRATTEN, QLD, 4370",513241290,1977-10-13
76314322488,A,Hughes & Hatcher Imports ehf.,91850875,AU,1999-08-22T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"93 Marloo Street, FELIXSTOW, SA, 5070",.,
91364734724,A,Kenny Rogers Roasters Imports EEI,492551955,AU,2008-08-12T00:00:00.000+00:00,,B,,,,,,,,.,,AU,"81 Rupara Street, PROSPECT WES, SA, 5082",.,
60062014762,C,,.,,1993-03-07T00:00:00.000+00:00,1996-03-06T00:00:00.000+00:00,P,F,N,N,Chr�tien,,Nancy Chronister,BE,9886,f,BE,"Rue Bouhouille 227, Schendelbeke, VOV, 9506",968648188,1981-04-26
96477527886,C,,.,,1998-01-27T00:00:00.000+00:00,1998-04-08T00:00:00.000+00:00,P,M,P,Paul,Chaffin,,Paul Chaffin,CA,3991,f,CA,"1614 Tycos Dr, Toronto, ON, M5T 1T4",214716971,1978-01-16
13343706823,C,Sistemos Corp,94842374,US,1998-06-08T00:00:00.000+00:00,2003-01-06T00:00:00.000+00:00,B,,,,,,,,.,,US,"896 Melville Street, Memphis, TN, 38118",.,
5102685254,C,,.,,1992-11-26T00:00:00.000+00:00,2008-04-06T00:00:00.000+00:00,P,M,B,Brad,Sharp,,Brad Sharp,US,3650,f,US,"2830 Strother Street, Leeds, AL, 35094",762598875,1980-04-07
4676434896,A,,.,,2003-01-17T00:00:00.000+00:00,,P,M,E,Eliasz,Kowalczyk,,Eliasz Kowalczyk,PL,7666,f,PL,"ul. Heweliusza Jana 138, Zabrze, 41-818",728589541,1987-06-11
73403563758,C,,.,,1993-05-24T00:00:00.000+00:00,2006-07-05T00:00:00.000+00:00,P,M,S,S,Brennan,,Santiago Brennan,US,4634,f,US,"1821 Zimmerman Lane, Los Angeles, CA, 90017",815193613,
20250310538,A,,.,,2009-09-09T00:00:00.000+00:00,,P,F,H,Hayley,McKinnon,,Hayley McKinnon,AU,8347,f,AU,"48 Souttar Terrace, HERDSMAN, WA, 6017",774043353,1987-11-13
86545053298,A,Independent Wealth Management AKF,75249,US,2005-08-25T00:00:00.000+00:00,,B,,,,,,,,.,,US,"99 Marion Street, Brattleboro, VT, 05301",.,
3239934846,C,De-Jaiz Mens Clothing Imports Inc,9423684,US,1993-06-01T00:00:00.000+00:00,2007-05-11T00:00:00.000+00:00,B,,,,,,,,.,,US,"4225 Sunny Glen Lane, Cleveland, OH, 44106",.,
24099805028,A,,.,,1993-10-25T00:00:00.000+00:00,,P,M,U,Ulrich,Achen,,Ulrich Achen,AT,4630,f,AT,"Gasteiner Strasse 7, FRANZHAUSEN, Lower Austria, 3133",584876734,1972-03-02
55239612507,A,,.,,2009-10-16T00:00:00.000+00:00,,P,F,D,Debra,Morgan,,Debra Morgan,ZA,2556,f,ZA,"367 Zigzag Rd, Johannesburg, Gauteng, 2009",52906030,1972-02-16
11215681810,C,Bonanza Produce Stores S.A,31787,AU,1990-05-09T00:00:00.000+00:00,1993-08-06T00:00:00.000+00:00,B,,,,,,,,.,,AU,"11 Scenic Road, GUNGARLIN, NSW, 2627",.,
